#,Category,Product Name,Sale Price ($),Regular Price ($),Discount ($),Discount (%),Stock Status,Product URL,Full Description
1,Front Bumper,2019-2025 Ram 2500 3500 Factory Front Bumper OEM Granite Crystal w/ Sensor Holes,1049.99,1100.0,50.01,4.5%,In Stock (1),https://texastruckparts.shop/product/2019-2025-ram-2500-3500-factory-front-bumper-oem-granite-crystal-w-sensor-holes/,"Genuine OEM take-off front bumper in Granite Crystal for 2019–2025 Ram 2500/3500 trucks. Carefully removed from a low-mileage vehicle and inspected by our team. Includes factory parking sensor holes for seamless sensor integration. Direct-fit, bolt-on installation using existing frame brackets — typically 1–2 hours with standard tools. OEM take-offs cost 40–60% less than dealership pricing with the same factory reliability. Ships free to commercial addresses from Sugar Land, TX. Financing available via Snap, Acima, and Progressive. VIN verification offered before purchase."
2,Front Bumper,2024-2026 GMC Sierra 2500 3500 Factory Abalone White Front Bumper Fog Light OEM,949.99,1000.0,50.01,5.0%,Out of Stock,https://texastruckparts.shop/product/2024-2026-gmc-sierra-2500-3500-factory-abalone-white-front-bumper-fog-light-oem/,"Genuine OEM take-off front bumper in Abalone White for 2024–2026 GMC Sierra 2500/3500. Removed from a low-mileage truck with paint protection film (PPF) applied — any visible flaws are on the film, not the painted surface. Includes mounting brackets, energy absorbers, fog light cutouts, and factory sensor mounting points. Direct-fit, bolt-on installation. Approx. 40–60% savings vs. dealer pricing. Ships within 1–2 business days from Sugar Land, TX via freight carrier. Financing options available."
3,Front Bumper,2023-2026 Ford Ranger Raptor Factory Front Bumper w/ Skid Plate & Fog Lights OEM,1199.99,1300.0,100.01,7.7%,Out of Stock,https://texastruckparts.shop/product/2023-2026-ford-ranger-raptor-factory-front-bumper-w-skid-plate-fog-lights-oem/,"Genuine OEM take-off front bumper for 2023–2026 Ford Ranger Raptor, including skid plate and factory fog lights. Removed from a low-mileage truck — what you see in photos is exactly what you receive. Existing fog lights and parking sensors transfer directly. Direct-fit, bolt-on installation in 1–2 hours with standard tools. Ships from Sugar Land, TX within 1–2 business days via LTL freight. Financing and local pickup available. VIN verification recommended before purchase."
4,Front Bumper,2010-2018 Ram HD 2500 3500 Chrome Front Bumper OEM Take Off Mopar,699.99,800.0,100.01,12.5%,Out of Stock,https://texastruckparts.shop/product/2010-2018-ram-hd-2500-3500-chrome-front-bumper-oem-take-off-mopar/,"Genuine OEM Mopar chrome front bumper for 2010–2018 Ram 2500/3500 HD trucks. Factory chrome finish in excellent condition. Removed from a low-mileage vehicle and carefully inspected. Includes mounting brackets and hardware for direct bolt-on installation — approx. 1–2 hours with standard tools. OEM take-offs offer 40–60% savings vs. new dealership parts with identical reliability and longevity. Ships from Sugar Land, TX. Financing available through multiple providers."
5,Front Bumper,2023-2026 Ford F250 F350 Super Duty Oxford White Front Bumper Fog Light Hole OEM,799.99,900.0,100.01,11.1%,Out of Stock,https://texastruckparts.shop/product/2023-2026-ford-f250-f350-super-duty-oxford-white-front-bumper-fog-light-hole-oem/,"Genuine OEM take-off front bumper in Oxford White for 2023–2026 Ford F250/F350 Super Duty. Carefully removed and inspected from a low-mileage truck. Features fog light cutouts; existing fog lights and sensors transfer directly. Direct-fit, bolt-on installation in 1–2 hours. Approx. 40–60% savings vs. dealer pricing with factory-grade quality and materials. Ships within 1–2 business days from Sugar Land, TX via freight carrier. Financing through Snap Finance, Progressive Leasing, and Acima."
6,Front Bumper,2023-2026 Ford F250 F350 Super Duty Star White Front Bumper w/ Fog Lights Sensor,1049.99,1100.0,50.01,4.5%,In Stock (1),https://texastruckparts.shop/product/2023-2026-ford-f250-f350-super-duty-star-white-front-bumper-w-fog-lights-sensor/,"Genuine OEM take-off front bumper in Star White for 2023–2026 Ford F250/F350 Super Duty. Fog lights included with direct bolt-on compatibility — no modifications needed. Removed from a low-mileage vehicle and inspected by our team. Factory wiring harness included. Bolt-on installation using existing frame brackets. Saves 40–60% vs. dealer pricing. Ships within 1–2 business days from Sugar Land, TX. Financing available; local pickup welcome."
7,Front Bumper,2023-2026 Ford F250 F350 Factory Front Chrome Bumper Fog Light Slot Sensor Holes (v2),749.99,800.0,50.01,6.3%,Out of Stock,https://texastruckparts.shop/product/2023-2026-ford-f250-f350-factory-front-chrome-bumper-fog-light-slot-sensor-holes-2/,"Genuine OEM take-off chrome front bumper for 2023–2026 Ford F250/F350. Factory chrome finish in excellent condition. Includes fog light slots and parking sensor holes for factory sensor integration. Carefully removed and inspected from a low-mileage truck. Direct-fit, bolt-on installation — 1–2 hours with standard hand tools. Existing fog lights and sensors transfer directly. Ships from Sugar Land, TX. Flexible financing available."
8,Front Bumper,2023-2026 Ford F250 F350 Factory Front Chrome Bumper Fog Light Slot Sensor Holes,749.99,800.0,50.01,6.3%,In Stock (1),https://texastruckparts.shop/product/2023-2026-ford-f250-f350-factory-front-chrome-bumper-fog-light-slot-sensor-holes/,"Genuine OEM take-off chrome front bumper for 2023–2026 Ford F250/F350. Factory chrome finish in excellent condition with fog light slots and parking sensor holes. Carefully removed and inspected from a low-mileage truck. Direct-fit, bolt-on installation using existing frame brackets in 1–2 hours. Existing fog lights and sensors transfer directly. Saves 40–60% vs. dealership pricing. Ships from Sugar Land, TX within 1–2 business days. Financing and local pickup available."
9,Front Bumper,2024-2026 Chevy Silverado 2500 3500 Black Front Bumper Fog Light & Sensor Holes,999.99,1050.0,50.01,4.8%,Out of Stock,https://texastruckparts.shop/product/2024-2026-chevy-silverado-2500-3500-black-front-bumper-fog-light-sensor-holes/,"Genuine OEM take-off front bumper in black for 2024–2026 Chevy Silverado 2500/3500. Removed from a low-mileage vehicle and inspected by our team. Features parking sensor holes compatible with factory sensor setups and fog light cutouts. Direct-fit, bolt-on installation in 1–2 hours with standard tools. OEM take-off quality at 40–60% below dealer pricing. Ships from Sugar Land, TX within 1–2 business days via freight carrier. Financing available."
10,Front Bumper,2024-2026 Chevy Silverado 2500 3500 Black Front Bumper w/ LED Fog Light & Sensor Holes,1099.99,1150.0,50.01,4.3%,Out of Stock,https://texastruckparts.shop/product/2024-2026-chevy-silverado-2500-3500-black-front-bumper-led-fog-light-sensor/,"Genuine OEM take-off black front bumper for 2024–2026 Chevy Silverado 2500/3500. Removed from a low-mileage truck and carefully inspected. Includes LED fog light cutouts and factory parking sensor holes. Bolt-on process using existing frame brackets; installation typically 1–2 hours with standard hand tools. VIN verification available to confirm fitment. Ships from Sugar Land, TX within 1–2 business days via freight carrier. Financing through Snap Finance, Progressive Leasing, and Acima."
11,Front Bumper,2023-2026 Ford F250 F350 Factory Front Chrome Bumper Fog Light Slot Super Duty,699.99,750.0,50.01,6.7%,Out of Stock,https://texastruckparts.shop/product/2023-2026-ford-f250-f350-factory-front-chrome-bumper-fog-light-slot-super-duty/,"Genuine OEM take-off chrome front bumper for 2023–2026 Ford F250/F350 Super Duty. Factory chrome finish in excellent condition with integrated fog light slots. Removed from a low-mileage truck; SKU 23FFC2. Direct bolt-on installation using existing truck frame brackets in 1–2 hours with standard tools. Saves 40–60% vs. new dealership pricing with same reliability and longevity. Ships from Sugar Land, TX within 1–2 business days. Contact (832) 706-8091 for VIN verification."
12,Front Bumper,2023-2026 Ford F250 F350 Factory Front Chrome Bumper Fog Light Slot,699.99,750.0,50.01,6.7%,Out of Stock,https://texastruckparts.shop/product/2023-2026-ford-f250-f350-factory-front-chrome-bumper-fog-light-slot/,"Genuine OEM take-off chrome front bumper for 2023–2026 Ford F250/F350; SKU 23FFC1. Factory chrome finish in excellent condition with integrated fog light slot. Carefully removed and inspected — no painting required. Bolt-on process using existing frame brackets; 1–2 hours with standard tools. Fog lights and sensors transfer directly if equipped. Saves 40–60% vs. dealer pricing. Ships from Sugar Land, TX within 1–2 business days. Financing available through Snap Finance, Progressive Leasing, and Acima."
13,Rear Bumper,2020-2026 Chevy Silverado GMC 2500 3500 Sterling Silver Rear Bumper Sensor Holes,699.99,750.0,50.01,6.7%,In Stock (1),https://texastruckparts.shop/product/2020-2026-chevy-silverado-gmc-2500-3500-sterling-silver-rear-bumper-sensor-holes/,"Genuine OEM take-off rear bumper in Sterling Silver for 2020–2026 Chevy Silverado and GMC Sierra 2500/3500 HD. GM uses the same rear bumper across Silverado and Sierra HD lines, so this is cross-compatible. Features integrated parking sensor holes for factory sensor compatibility. Removed from a low-mileage vehicle; what you see in photos is what you receive. Direct-fit, bolt-on component. Ships from Sugar Land, TX within 1–2 business days. One unit in stock. Financing available."
14,Rear Bumper,2023-2026 Ford F250 F350 Factory Painted Rear Bumper Star White Sensor Hole OEM,699.99,750.0,50.01,6.7%,Out of Stock,https://texastruckparts.shop/product/2023-2026-ford-f250-f350-factory-painted-rear-bumper-star-white-sensor-hole-oem/,"Genuine OEM take-off rear bumper in Star White (painted) for 2023–2026 Ford F250/F350/F450. Removed from a low-mileage vehicle and inspected. Includes factory parking sensor holes for seamless sensor integration. Direct bolt-on installation using existing frame brackets in 1–2 hours. Please refer to photos for exact condition. Saves 40–60% vs. dealer pricing. Ships from Sugar Land, TX within 1–2 business days via freight carrier. Financing available."
15,Rear Bumper,2020-2026 Chevy Silverado GMC 2500 3500 Abalone White Rear Bumper w/ Sensor,649.99,700.0,50.01,7.1%,Out of Stock,https://texastruckparts.shop/product/2020-2026-chevy-silverado-gmc-2500-3500-abalone-white-rear-bumper-w-sensor/,"Genuine OEM take-off rear bumper in Abalone White for 2020–2026 Chevy Silverado/GMC Sierra 2500/3500; SKU 20GMAW2. Removed from a low-mileage vehicle and carefully inspected. GM uses the same rear bumper across both Sierra and Silverado HD lines. Direct bolt-on installation — no modifications needed. Includes sensor holes for factory parking sensor compatibility. Saves 40–60% vs. dealership pricing. Ships from Sugar Land, TX. Financing available."
16,Rear Bumper,2023-2026 Ford F250 F350 F450 Factory Painted Rear Bumper Stone Grey Sensor Hole OEM,699.99,800.0,100.01,12.5%,Out of Stock,https://texastruckparts.shop/product/2023-2026-ford-f250-f350-factory-painted-rear-bumper-stone-grey-sensor-hole-oem/,"Genuine OEM take-off rear bumper in Stone Grey (painted) for 2023–2026 Ford F250/F350/F450; SKU 23FSGS1. Removed from a low-mileage truck and carefully inspected. Includes parking sensor holes for factory sensor setup. Direct-fit, bolt-on installation in 1–2 hours using standard tools. Please refer to photos for exact condition — what you see is what you receive. Ships from Sugar Land, TX within 1–2 business days via freight carrier. Financing available."
17,Rear Bumper,2023-2026 Ford F250 F350 F450 Factory Painted Rear Bumper Ruby Red w/ Sensor Hole OEM,699.99,750.0,50.01,6.7%,Out of Stock,https://texastruckparts.shop/product/2023-2026-ford-f250-f350-factory-painted-rear-bumper-ruby-red-w-sensor-hole-oem/,"Genuine OEM take-off rear bumper in Ruby Red (painted) for 2023–2026 Ford F250/F350/F450; SKU 24FRRS1. Removed from a low-mileage vehicle and inspected. Features factory parking sensor holes and accommodates factory sensor setups. Direct bolt-on installation using existing frame brackets in 1–2 hours. Do not expect a brand-new item — expect a genuine OEM part in the condition shown. Ships from Sugar Land, TX within 1–2 business days. Financing available."
18,Rear Bumper,2020-2026 GMC Chevy 2500 3500 Factory Rear Bumper Abalone White w/ Sensor OEM,649.99,700.0,50.01,7.1%,In Stock (1),https://texastruckparts.shop/product/2020-2026-gmc-chevy-2500-3500-factory-rear-bumper-abalone-white-w-sensor-oem/,"Genuine OEM take-off rear bumper in Abalone White with sensor provisions for 2020–2026 Chevy Silverado/GMC Sierra 2500/3500. Cross-compatible between both brands as GM uses identical rear bumpers across Sierra and Silverado HD lines. Includes sensor holes for factory parking sensor compatibility and all mounting brackets and hardware. Meets federal crash safety standards. Direct-fit, bolt-on installation. Free commercial shipping from Sugar Land, TX. Local pickup available. Financing available."
19,Rear Bumper,2019-2026 Ram 2500 3500 4500 Factory Rear Bumper OEM Billet Silver w/ Sensors,599.99,650.0,50.01,7.7%,Out of Stock,https://texastruckparts.shop/product/2019-2026-ram-2500-3500-4500-factory-rear-bumper-oem-billet-silver-w-sensors/,"Genuine OEM take-off rear bumper in Billet Silver for 2019–2026 Ram 2500/3500/4500; SKU 19RAMRSS. Removed from a low-mileage truck and carefully inspected by our team. Direct bolt-on installation with manufacturer specifications. VIN verification and fitment assistance available. Installation typically 1–2 hours with standard tools. Saves 40–60% vs. dealer pricing with factory-grade quality and reliability. Ships from Sugar Land, TX. Financing available through multiple providers."
20,Rear Bumper,2023-2026 Ford F250 F350 F450 Factory Painted Rear Bumper Darkened Bronze Sensor Hole,699.99,750.0,50.01,6.7%,Out of Stock,https://texastruckparts.shop/product/2023-2026-ford-f250-f350-factory-painted-rear-bumper-darkened-bronze-sensor-hole/,"Genuine OEM take-off rear bumper in Darkened Bronze (painted) for 2023–2026 Ford F250/F350/F450. Removed from a low-mileage truck and carefully inspected. Includes parking sensor holes for factory sensor compatibility. Direct-fit, bolt-on installation in 1–2 hours using standard tools; existing fog lights and sensors transfer directly to compatible cutouts. Photos show exact condition. Ships from Sugar Land, TX within 1–2 business days via freight carrier. Flexible financing available."
21,Rear Bumper,2020-2026 GMC Chevy 2500 3500 Factory Rear Bumper Black No Sensors OEM,699.99,800.0,100.01,12.5%,In Stock (1),https://texastruckparts.shop/product/2020-2026-gmc-chevy-2500-3500-factory-rear-bumper-black-no-sensors-oem/,"Genuine OEM take-off rear bumper in black for 2020–2026 Chevy Silverado/GMC Sierra 2500/3500. No parking sensor holes — offers a clean, simple look. Removed from a low-mileage truck and carefully inspected by our team. Compatible across Chevy and GMC HD truck lines. Includes mounting brackets, energy absorbers, and all attachment hardware. Direct bolt-on installation using existing frame brackets. Ships free to commercial addresses from Sugar Land, TX. Local pickup available. VIN verification: (832) 706-8091."
